1___1	807,842;
1___2	805,847;
1___3	823,853;
1___4	797,833;
1___5	798,848;
1___6	800,844;
1___7	797,846;
1___8	825,842;
1___9	807,844;
1___10	804,853;
1___11	805,851;
1___12	800,839;
1___13	801,839;
1___14	797,852;
1___15	807,851;
1___16	807,848;
2___1	973,1021;
2___2	974,1033;
2___3	987,1035;
2___4	968,1014;
2___5	968,1039;
2___6	958,1026;
2___7	959,1021;
2___8	994,1030;
2___9	977,1031;
2___10	976,1022;
2___11	973,1019;
2___12	983,1024;
2___13	975,1041;
2___14	974,990;
2___15	958,1015;
2___16	959,1023;
3___1	1073,1115;
3___2	1071,1116;
3___3	1068,1140;
3___4	1069,1116;
3___5	1067,1100;
3___6	1058,1134;
3___7	1063,1113;
3___8	1082,1109;
3___9	1072,1110;
3___10	1070,1109;
3___11	1064,1116;
3___12	1070,1115;
3___13	1064,1135;
3___14	1088,1114;
3___15	1075,1086;
3___16	1079,1112;
4___1	960,1032;
4___2	964,996;
4___3	968,1021;
4___4	962,1003;
4___5	952,1016;
4___6	970,1029;
4___7	959,1024;
4___8	990,1015;
4___9	974,1018;
4___10	945,1018;
4___11	953,1025;
4___12	962,1018;
4___13	967,1013;
4___14	970,1014;
4___15	972,1024;
4___16	954,1016;
5___1	3198,3225;
5___2	3203,3295;
5___3	3197,3256;
5___4	3195,3283;
5___5	3199,3307;
5___6	3194,3235;
5___7	3194,3251;
5___8	3205,3300;
5___9	3206,3305;
5___10	3201,3266;
5___11	3199,3260;
5___12	3194,3259;
5___13	3195,3246;
5___14	3194,3246;
5___15	3192,3256;
5___16	3193,3274;
6___1	3574,3660;
6___2	3540,3605;
6___3	3528,3622;
6___4	3541,3657;
6___5	3514,3730;
6___6	3470,3631;
6___7	3503,3698;
6___8	3574,3596;
6___9	3557,3613;
6___10	3524,3707;
6___11	3554,3620;
6___12	3522,3589;
6___13	3547,3668;
6___14	3537,3614;
6___15	3532,3760;
6___16	3538,3622;
7___1	3484,3534;
7___2	3458,3634;
7___3	3441,3642;
7___4	3495,3632;
7___5	3387,3554;
7___6	3450,3636;
7___7	3423,3655;
7___8	3497,3650;
7___9	3466,3592;
7___10	3425,3654;
7___11	3453,3614;
7___12	3481,3673;
7___13	3384,3705;
7___14	3355,3754;
7___15	3500,3751;
7___16	3393,3687;
8___1	3919,4105;
8___2	3915,4132;
8___3	3908,4075;
8___4	3982,4135;
8___5	3901,4187;
8___6	3911,4049;
8___7	3895,4059;
8___8	3965,4166;
8___9	3946,4112;
8___10	3916,4075;
8___11	3877,4139;
8___12	3917,3977;
8___13	3902,4140;
8___14	3939,4199;
8___15	3891,4020;
8___16	3914,4117;
9___1	6208,6350;
9___2	6192,6424;
9___3	6148,6331;
9___4	6194,6366;
9___5	6178,6334;
9___6	6194,6309;
9___7	6154,6343;
9___8	6242,6432;
9___9	6212,6485;
9___10	6178,6410;
9___11	6192,6304;
9___12	6178,6326;
9___13	6159,6357;
9___14	6167,6350;
9___15	6198,6318;
9___16	6167,6433;
10___1	6624,6764;
10___2	6637,6838;
10___3	6562,6775;
10___4	6615,6811;
10___5	6518,6784;
10___6	6554,6735;
10___7	6585,6746;
10___8	6662,6769;
10___9	6618,6771;
10___10	6600,6758;
10___11	6486,6736;
10___12	6630,6819;
10___13	6636,6790;
10___14	6645,6816;
10___15	6635,6784;
10___16	6631,6794;
11___1	6387,6756;
11___2	6428,6793;
11___3	6503,6743;
11___4	6561,6758;
11___5	6421,6891;
11___6	6433,6898;
11___7	6364,6732;
11___8	6624,6735;
11___9	6487,6724;
11___10	6570,6858;
11___11	6555,6802;
11___12	6442,6690;
11___13	6407,6742;
11___14	6409,6773;
11___15	6541,6807;
11___16	6553,6716;
12___1	6861,6984;
12___2	6801,7095;
12___3	6833,7067;
12___4	6798,7095;
12___5	6834,7086;
12___6	6763,7111;
12___7	6751,7015;
12___8	6868,7082;
12___9	6839,7010;
12___10	6818,7051;
12___11	6858,7062;
12___12	6788,7012;
12___13	6846,7041;
12___14	6824,7086;
12___15	6856,7084;
12___16	6807,7078;
