1___1	971,992;
1___2	968,995;
1___3	968,995;
1___4	968,993;
1___5	981,984;
1___6	967,1003;
1___7	967,995;
1___8	976,991;
1___9	983,993;
1___10	964,997;
1___11	973,1006;
1___12	963,991;
1___13	962,998;
1___14	966,995;
1___15	972,997;
1___16	949,1004;
2___1	978,1027;
2___2	975,1011;
2___3	973,1028;
2___4	973,1031;
2___5	982,1011;
2___6	964,1018;
2___7	950,1046;
2___8	993,1021;
2___9	982,1030;
2___10	971,1028;
2___11	972,1033;
2___12	976,1041;
2___13	969,1034;
2___14	975,1017;
2___15	978,1034;
2___16	968,1030;
3___1	985,1003;
3___2	992,1011;
3___3	982,1024;
3___4	986,1021;
3___5	990,1004;
3___6	987,1013;
3___7	984,1014;
3___8	995,1005;
3___9	989,1014;
3___10	977,1009;
3___11	989,1001;
3___12	989,1001;
3___13	988,1010;
3___14	990,1014;
3___15	973,1004;
3___16	978,1014;
4___1	919,966;
4___2	897,923;
4___3	917,962;
4___4	911,960;
4___5	920,953;
4___6	917,969;
4___7	914,964;
4___8	946,969;
4___9	930,967;
4___10	909,968;
4___11	925,957;
4___12	917,966;
4___13	921,962;
4___14	907,947;
4___15	917,957;
4___16	919,965;
5___1	988,1018;
5___2	995,1028;
5___3	974,1018;
5___4	998,1025;
5___5	997,1024;
5___6	993,1023;
5___7	974,1036;
5___8	1007,1008;
5___9	996,1023;
5___10	987,1016;
5___11	987,1013;
5___12	985,1034;
5___13	990,1016;
5___14	982,1023;
5___15	989,1013;
5___16	995,1026;
6___1	959,1008;
6___2	972,1005;
6___3	949,1004;
6___4	947,1008;
6___5	966,1011;
6___6	950,1013;
6___7	931,989;
6___8	970,1001;
6___9	957,993;
6___10	948,1005;
6___11	943,993;
6___12	953,977;
6___13	936,1016;
6___14	955,1003;
6___15	959,1007;
6___16	945,1012;
7___1	966,1010;
7___2	995,1021;
7___3	965,1035;
7___4	992,1016;
7___5	974,1016;
7___6	960,1026;
7___7	952,1015;
7___8	975,1008;
7___9	989,1017;
7___10	960,1013;
7___11	968,976;
7___12	975,1022;
7___13	967,1012;
7___14	968,1001;
7___15	950,1014;
7___16	962,1017;
8___1	958,999;
8___2	940,1002;
8___3	964,1000;
8___4	968,1009;
8___5	960,989;
8___6	953,970;
8___7	941,1003;
8___8	985,1008;
8___9	961,997;
8___10	950,992;
8___11	953,1001;
8___12	949,1011;
8___13	942,1006;
8___14	967,998;
8___15	940,999;
8___16	951,993;
9___1	934,969;
9___2	926,968;
9___3	910,971;
9___4	909,957;
9___5	936,973;
9___6	896,964;
9___7	904,968;
9___8	926,966;
9___9	930,972;
9___10	899,962;
9___11	922,956;
9___12	910,962;
9___13	920,981;
9___14	903,963;
9___15	910,970;
9___16	906,966;
10___1	1045,1069;
10___2	1048,1070;
10___3	1047,1067;
10___4	1026,1077;
10___5	1038,1063;
10___6	1024,1083;
10___7	1025,1039;
10___8	1055,1055;
10___9	1028,1068;
10___10	1023,1081;
10___11	1028,1034;
10___12	1023,1075;
10___13	1028,1063;
10___14	1015,1065;
10___15	1023,1082;
10___16	1031,1073;
11___1	3282,3385;
11___2	3247,3341;
11___3	3229,3358;
11___4	3257,3377;
11___5	3245,3368;
11___6	3239,3363;
11___7	3222,3354;
11___8	3313,3354;
11___9	3244,3416;
11___10	3237,3390;
11___11	3241,3320;
11___12	3250,3376;
11___13	3245,3390;
11___14	3226,3339;
11___15	3233,3335;
11___16	3242,3329;
12___1	3232,3333;
12___2	3180,3418;
12___3	3235,3376;
12___4	3225,3385;
12___5	3262,3446;
12___6	3291,3360;
12___7	3200,3374;
12___8	3321,3354;
12___9	3248,3439;
